PID,Core Count,Core Clock,Boost Clock,TDP,Series,Microarchitecture,Core Family,Socket,Maximum Supported Memory,ECC Support,Packaging,Includes CPU Cooler,L1 Cache,L2 Cache,L3 Cache,Lithography,Simultaneous Multithreading,Integrated Graphics
16777,2,3,,51,17,10,14,3,64,Y,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 3 MB,14,N,8
16778,4,3,3,80,27,10,52,3,64,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,Y,39
16779,10,2,3,105,16,16,26,10,,Y,1,N,"10 x 32 kB Instruction
10 x 32 kB Data",10 x 256 kB,1 x 25 MB,22,Y,
16780,2,1,,65,14,20,30,4,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 512 kB,,65,N,
16781,4,3,,95,4,17,23,8,,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 6 MB,32,N,
16782,8,3,3,150,16,17,25,11,,Y,0,N,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 256 kB,1 x 20 MB,32,Y,
16783,8,3,4,150,16,14,35,11,,Y,0,N,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 256 kB,1 x 25 MB,22,Y,
16784,2,1,,65,17,20,30,4,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 1 MB,,65,N,
16785,2,2,,65,17,9,13,4,,N,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 2 MB,,45,N,
16786,2,2,,65,10,9,13,4,,N,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 3 MB,,45,N,
16787,4,2,,95,22,24,39,4,,N,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",2 x 2 MB,,45,N,
16788,4,2,,95,22,24,39,4,,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",2 x 3 MB,,45,N,
16789,4,2,,100,15,27,51,18,,N,0,Y,"4 x 64 kB Instruction
4 x 64 kB Data",4 x 1 MB,,32,N,37
16790,4,3,,95,21,19,37,12,,N,1,N,"4 x 64 kB Instruction
4 x 64 kB Data",4 x 512 kB,,45,N,
16791,4,3,,65,19,15,48,17,,N,0,Y,"2 x 64 kB Instruction
4 x 16 kB Data",1 x 4 MB,,32,N,26
16792,4,3,,65,24,15,45,17,,N,0,Y,"2 x 64 kB Instruction
4 x 16 kB Data",2 x 2 MB,,32,N,
16793,4,3,,77,27,14,19,8,,Y,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,4 x 8 MB,22,Y,36
16794,10,2,3,85,16,18,24,10,1536,Y,0,N,"10 x 32 kB Instruction
10 x 32 kB Data",10 x 256 kB,1 x 25 MB,14,Y,
16795,8,2,3,115,16,17,25,11,,Y,0,N,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 256 kB,1 x 20 MB,32,Y,
16796,10,2,3,90,16,18,24,10,1536,Y,0,N,"10 x 32 kB Instruction
10 x 32 kB Data",10 x 256 kB,1 x 25 MB,14,Y,
16797,10,3,3,160,16,16,26,10,,Y,1,N,"10 x 32 kB Instruction
10 x 32 kB Data",10 x 256 kB,1 x 25 MB,22,Y,
16798,4,2,,130,3,22,40,16,,N,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,45,Y,
16799,6,3,4,130,16,14,35,11,,Y,0,Y,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 15 MB,22,Y,
16800,4,2,,100,22,20,44,4,,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",2 x 4 MB,,65,N,
16801,6,3,3,130,16,17,25,11,,Y,0,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 15 MB,32,Y,
16802,14,1,2,65,16,18,24,10,1536,Y,1,N,"14 x 32 kB Instruction
14 x 32 kB Data",14 x 256 kB,1 x 35 MB,14,Y,
16803,1,2,,35,14,20,30,4,,N,0,Y,"1 x 32 kB Instruction
1 x 32 kB Data",1 x 512 kB,,65,N,
16804,4,2,,95,3,22,34,14,,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,45,Y,
16805,4,3,3,84,27,11,16,6,,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,22,Y,34
16806,4,3,3,80,27,11,16,6,,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,22,Y,
16807,6,3,3,140,3,16,28,10,64,N,1,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 15 MB,22,Y,
16808,2,3,4,65,31,15,45,17,,N,0,Y,"1 x 64 kB Instruction
2 x 16 kB Data",1 x 1 MB,,32,N,24
16809,18,2,4,165,5,10,32,7,128,N,1,N,"18 x 32 kB Instruction
18 x 32 kB Data",18 x 1 MB,1 x 24 MB,14,Y,
16810,4,4,,91,6,7,11,3,64,N,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,N,1
16811,2,3,,65,14,7,11,3,64,Y,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 2 MB,14,N,9
16812,6,3,4,65,4,5,7,3,128,N,1,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 9 MB,14,N,1
16813,4,3,4,71,28,7,11,3,64,Y,0,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,Y,
16814,2,2,,65,14,9,13,4,,N,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 1 MB,,45,N,
16815,4,3,3,72,27,8,12,3,64,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,N,
16816,4,2,3,65,4,14,19,8,,N,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 6 MB,22,N,14
16817,4,3,,130,25,22,40,16,,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,45,Y,
16818,4,3,,130,25,22,40,16,,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,45,Y,
16819,2,3,,65,18,19,29,12,,N,0,Y,"2 x 64 kB Instruction
2 x 64 kB Data",2 x 1 MB,,45,N,
16820,4,3,3,65,4,16,22,6,,N,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 6 MB,22,N,10
16821,4,3,,150,29,24,39,20,,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",2 x 6 MB,,45,N,
16822,2,3,,51,17,8,12,3,64,Y,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 3 MB,14,Y,7
16823,6,3,,130,3,26,49,16,,N,0,Y,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 12 MB,32,Y,
16824,2,3,,65,17,9,13,4,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 2 MB,,45,N,
16825,4,3,4,95,24,23,50,15,,N,0,Y,"2 x 96 kB Instruction
4 x 16 kB Data",2 x 2 MB,,28,N,
16826,4,2,3,65,4,16,22,6,,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 6 MB,22,N,10
16827,6,3,3,135,16,16,26,10,,Y,1,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 20 MB,22,Y,
16828,8,2,3,130,16,17,25,11,,Y,0,N,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 256 kB,1 x 20 MB,32,Y,
16829,2,2,,65,17,9,13,4,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 2 MB,,45,N,
16830,6,3,,95,26,19,46,12,,N,0,Y,"6 x 64 kB Instruction
6 x 64 kB Data",6 x 512 kB,1 x 6 MB,45,N,
16831,2,3,,54,6,16,22,6,,Y,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 4 MB,22,Y,10
16832,4,3,4,80,27,11,16,6,,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,22,Y,
16833,4,3,4,65,4,8,12,3,64,N,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 6 MB,14,N,7
16834,2,2,,35,14,10,14,3,64,Y,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 2 MB,14,N,21
16835,4,3,,125,23,19,42,21,,N,0,Y,"4 x 64 kB Instruction
4 x 64 kB Data",4 x 512 kB,1 x 6 MB,45,N,
16836,2,1,,65,17,20,30,4,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 1 MB,,65,N,
16837,2,2,,65,10,20,30,4,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 2 MB,,65,N,
16838,4,3,3,80,27,16,22,6,,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,22,Y,
16839,12,2,3,120,16,16,26,10,,Y,1,N,"12 x 32 kB Instruction
12 x 32 kB Data",12 x 256 kB,1 x 30 MB,22,Y,
16840,4,4,,125,13,25,43,9,,N,0,Y,"2 x 64 kB Instruction
4 x 16 kB Data",2 x 2 MB,1 x 8 MB,32,N,
16841,2,3,,53,17,11,16,6,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 3 MB,22,N,16
16842,2,3,,55,6,14,19,8,,N,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 3 MB,22,Y,14
16843,4,2,3,45,3,14,19,8,,N,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,22,Y,12
16844,2,3,,54,6,10,14,3,64,Y,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 3 MB,14,Y,21
16845,4,3,4,73,27,8,12,3,64,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,Y,28
16846,2,1,,35,14,7,11,3,64,Y,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 2 MB,14,N,9
16847,6,2,4,65,4,5,7,3,128,N,1,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 9 MB,14,N,1
16848,6,3,4,80,28,5,7,3,128,Y,1,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 12 MB,14,Y,28
16849,4,3,4,73,27,8,12,3,64,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,Y,28
16850,4,2,,130,3,22,40,16,,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,45,Y,
16851,4,3,,95,27,17,23,8,,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,32,Y,16
16852,2,3,,35,6,10,14,3,64,Y,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 3 MB,14,Y,8
16853,4,3,3,80,27,10,52,3,64,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,Y,
16854,6,3,3,140,3,18,33,10,,N,1,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 15 MB,14,Y,
16855,1,1,,35,14,20,30,4,,N,0,Y,"1 x 32 kB Instruction
1 x 32 kB Data",1 x 512 kB,,65,N,
16856,4,2,,95,23,19,42,12,,N,0,Y,"4 x 64 kB Instruction
4 x 64 kB Data",4 x 512 kB,1 x 6 MB,45,N,
16857,4,3,,125,23,19,42,21,,N,1,N,"4 x 64 kB Instruction
4 x 64 kB Data",4 x 512 kB,1 x 6 MB,45,N,
16858,2,2,,65,17,17,23,8,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 3 MB,32,N,16
16859,2,2,,35,17,17,23,8,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 3 MB,32,N,16
16860,2,2,,65,17,17,23,8,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 3 MB,32,N,14
16861,2,2,,53,14,16,22,6,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 2 MB,22,N,16
16862,4,3,,95,13,25,43,9,,N,1,N,"2 x 64 kB Instruction
4 x 16 kB Data",2 x 2 MB,1 x 8 MB,32,N,
16863,8,2,3,90,16,16,26,10,,Y,1,N,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 256 kB,1 x 20 MB,22,Y,
16864,4,3,,69,27,14,19,8,,Y,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,22,Y,
16865,4,2,3,25,27,10,52,3,64,Y,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,N,39
16866,18,2,3,120,16,18,24,10,1536,Y,0,N,"18 x 32 kB Instruction
18 x 32 kB Data",18 x 256 kB,1 x 45 MB,14,Y,
16867,2,3,,35,11,7,11,3,64,Y,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 4 MB,14,Y,1
16868,4,3,4,62,6,5,7,3,64,Y,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,N,
16869,6,2,3,35,4,5,7,3,128,N,1,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 9 MB,14,N,1
16870,1,2,,45,20,19,55,12,,N,0,Y,"1 x 64 kB Instruction
1 x 64 kB Data",1 x 1 MB,,45,N,
16871,6,2,3,80,16,14,35,11,,Y,0,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 15 MB,22,Y,
16872,1,1,,35,14,20,30,4,,N,0,Y,"1 x 32 kB Instruction
1 x 32 kB Data",1 x 512 kB,,65,N,
16873,4,2,,95,22,24,39,4,,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",2 x 2 MB,,45,N,
16874,4,3,3,140,16,16,26,10,,Y,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 10 MB,22,Y,
16875,10,2,3,105,16,16,26,10,,Y,0,N,"10 x 32 kB Instruction
10 x 32 kB Data",10 x 256 kB,1 x 25 MB,22,Y,
16876,2,3,,53,17,11,16,6,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 3 MB,22,N,16
16877,12,3,4,165,5,10,32,7,128,N,1,N,"12 x 32 kB Instruction
12 x 32 kB Data",12 x 1 MB,1 x 19.25 MB,14,Y,
16878,4,3,,125,23,19,42,12,,N,1,N,"4 x 64 kB Instruction
4 x 64 kB Data",4 x 512 kB,1 x 6 MB,45,N,
16879,8,3,,125,13,25,43,9,,N,1,N,"8 x 16 kB Instruction
4 x 64 kB Data",8 x 1 MB,1 x 8 MB,32,N,
16880,2,3,,65,17,17,23,8,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 3 MB,32,N,16
16881,4,3,,69,27,14,19,8,,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,22,N,
16882,4,2,,45,27,14,19,8,,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,22,Y,14
16883,8,2,2,95,16,14,35,11,,Y,0,N,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 256 kB,1 x 20 MB,22,Y,
16884,6,3,3,130,16,17,25,11,,Y,1,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 12 MB,32,Y,
16885,8,3,4,95,13,15,21,9,,N,0,Y,"4 x 64 kB Instruction
8 x 16 kB Data",4 x 2 MB,1 x 8 MB,32,N,
16886,4,3,3,80,27,10,52,3,64,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,N,39
16887,16,2,3,120,16,18,24,10,1536,Y,1,N,"16 x 32 kB Instruction
16 x 32 kB Data",16 x 256 kB,1 x 40 MB,14,Y,
16888,4,3,,62,6,7,11,3,64,N,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,N,1
16889,2,3,,54,11,7,11,3,64,Y,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 4 MB,14,Y,1
16890,14,3,4,165,5,10,32,7,128,N,0,N,"14 x 32 kB Instruction
14 x 32 kB Data",14 x 1 MB,1 x 19.25 MB,14,Y,
16891,6,1,3,35,4,5,7,3,128,N,1,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 9 MB,14,N,1
16892,4,3,,125,23,19,42,12,,N,1,N,"4 x 64 kB Instruction
4 x 64 kB Data",4 x 512 kB,1 x 6 MB,45,N,
16893,4,2,3,35,4,10,14,3,64,N,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 6 MB,14,N,8
16894,8,2,3,135,16,17,25,11,,Y,0,N,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 256 kB,1 x 20 MB,32,Y,
16895,2,2,,65,17,20,30,4,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 1 MB,,65,N,
16896,2,3,,65,31,15,45,17,,N,0,Y,"1 x 64 kB Instruction
2 x 16 kB Data",1 x 1 MB,,32,N,32
16897,14,2,3,145,16,16,26,10,,Y,0,N,"14 x 32 kB Instruction
14 x 32 kB Data",14 x 256 kB,1 x 35 MB,22,Y,
16898,2,2,,51,14,10,14,3,64,Y,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 2 MB,14,N,21
16899,4,4,4,79,27,8,12,3,64,Y,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14,Y,7
16900,6,2,4,65,4,5,7,3,128,N,1,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 9 MB,14,N,1
16901,2,2,,65,10,20,30,4,,N,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 2 MB,,65,N,
16902,2,2,,65,10,20,30,4,,N,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 2 MB,,65,N,
16903,2,3,,65,10,9,13,4,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",1 x 6 MB,,45,N,
16904,4,2,,95,22,24,39,4,,N,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",2 x 6 MB,,45,N,
16905,2,3,,65,18,19,29,12,,N,0,Y,"2 x 64 kB Instruction
2 x 64 kB Data",2 x 1 MB,,45,N,
16906,2,2,,35,6,17,23,8,,N,0,Y,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 3 MB,32,Y,15
16907,4,3,,95,23,19,42,12,,N,0,Y,"4 x 64 kB Instruction
4 x 64 kB Data",4 x 512 kB,,45,N,
16908,4,2,,65,4,17,23,8,,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 6 MB,32,N,17
16909,4,3,,80,27,17,23,8,,Y,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,32,Y,
16910,6,3,3,130,16,14,35,11,,Y,1,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 25 MB,22,Y,
16911,8,3,3,140,16,16,26,10,,Y,1,N,"8 x 32 kB Instruction
8 x 32 kB Data",8 x 256 kB,1 x 20 MB,22,Y,
16912,4,3,3,65,19,23,36,15,,N,1,N,"2 x 96 kB Instruction
4 x 16 kB Data",2 x 2 MB,,28,N,13
16913,12,1,2,65,16,16,26,10,,Y,1,N,"12 x 32 kB Instruction
12 x 32 kB Data",12 x 256 kB,1 x 30 MB,22,Y,
16914,4,2,,45,3,16,22,6,,N,1,N,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 8 MB,22,Y,10
16915,4,2,3,65,4,11,16,6,,N,0,Y,"4 x 32 kB Instruction
4 x 32 kB Data",4 x 256 kB,1 x 6 MB,22,N,12
16916,2,3,,54,17,8,12,3,64,Y,1,N,"2 x 32 kB Instruction
2 x 32 kB Data",2 x 256 kB,1 x 3 MB,14,Y,19
16917,6,3,4,65,4,5,7,3,128,N,1,N,"6 x 32 kB Instruction
6 x 32 kB Data",6 x 256 kB,1 x 9 MB,14,N,1
